,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
225,1225,1090,46.061730034,4.78075207026,Lurcy,Ain,Auvergne-Rhône-Alpes
226,1227,1300,45.7754050255,5.71540945601,Magnieu,Ain,Auvergne-Rhône-Alpes
227,1228,1430,46.1201642836,5.52854394238,Maillat,Ain,Auvergne-Rhône-Alpes
228,1229,1340,46.3295545661,5.14386299599,Malafretaz,Ain,Auvergne-Rhône-Alpes
229,1230,1560,46.4302754511,5.10675899732,Mantenay-Montlin,Ain,Auvergne-Rhône-Alpes
230,1231,1570,46.3643830585,4.90242777155,Manziat,Ain,Auvergne-Rhône-Alpes
231,1232,1851,46.3434312497,5.24374534963,Marboz,Ain,Auvergne-Rhône-Alpes
232,1233,1680,45.7738495266,5.54985181107,Marchamp,Ain,Auvergne-Rhône-Alpes
233,1234,1300,45.8010384947,5.71570352924,Marignieu,Ain,Auvergne-Rhône-Alpes
234,1235,1240,46.0549073186,5.0741150816,Marlieux,Ain,Auvergne-Rhône-Alpes
235,1236,1340,46.3409117711,5.06434294764,Marsonnas,Ain,Auvergne-Rhône-Alpes
236,1237,1100,46.2030768095,5.61384033805,Martignat,Ain,Auvergne-Rhône-Alpes
237,1238,1600,45.9094016817,4.82779660051,Massieux,Ain,Auvergne-Rhône-Alpes
238,1239,1300,45.7571503942,5.7620535823,Massignieu-de-Rives,Ain,Auvergne-Rhône-Alpes
239,1240,1580,46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes
240,1240,1580,46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes
241,1241,1370,46.244997627,5.33594738489,Meillonnas,Ain,Auvergne-Rhône-Alpes
242,1242,1450,46.0648564341,5.44210660051,Mérignat,Ain,Auvergne-Rhône-Alpes
243,1243,1480,46.0472670758,4.75935643933,Messimy-sur-Saône,Ain,Auvergne-Rhône-Alpes
244,1244,1800,45.9060530318,5.20404833653,Meximieux,Ain,Auvergne-Rhône-Alpes
245,1245,1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
246,1245,1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
247,1245,1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
248,1246,1660,46.2423102101,5.04725416984,Mézériat,Ain,Auvergne-Rhône-Alpes
249,1247,1170,46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes
250,1247,1410,46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes
251,1248,1390,45.8955939299,4.92416967439,Mionnay,Ain,Auvergne-Rhône-Alpes
252,1249,1700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
253,1249,1700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
254,1249,1700,45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
255,1250,1600,45.9762325343,4.81028471711,Misérieux,Ain,Auvergne-Rhône-Alpes
256,1252,1140,46.1446696076,4.820110702,Mogneneins,Ain,Auvergne-Rhône-Alpes
257,1254,1250,46.1686969123,5.27962107938,Montagnat,Ain,Auvergne-Rhône-Alpes
258,1255,1470,45.799449019,5.46428608859,Montagnieu,Ain,Auvergne-Rhône-Alpes
259,1257,1200,46.17325293,5.79006091307,Montanges,Ain,Auvergne-Rhône-Alpes
